  sta seedchan net location config   ondate     offdate   digitizer  clip   corr
 TMU    HHN     UU    01       1   2002/09/30  2099/01/01 130-01    4.41e6 -0.28
 TMU    HHZ     UU    01   exclude 2002/09/30  2099/01/01 130-01    4.41e6  0.00
 TMU    ENE     UU    01       2   2000/12/01  2010/09/29 72A-08    5.19e6 -0.28
 TMU    ENN     UU    01       2   2000/12/01  2010/09/29 72A-08    5.19e6 -0.28
 TMU    ENE     UU    01       2   2002/09/30  2099/01/01 130-01    6.23e6 -0.28
 TMU    ENN     UU    01       2   2002/09/30  2099/01/01 130-01    6.23e6 -0.28
 TPNV   BHE     US    01       1   2001/10/23  2008/02/25 Quanterra 5.87e6 -0.22
 TPNV   BHN     US    01       1   2001/10/23  2008/02/25 Quanterra 5.87e6 -0.22
 TPNV   BHE     US    01       1   2009/11/08  2016/09/30 Q330SR    5.87e6 -0.22
 TPNV   BHN     US    01       1   2009/11/08  2016/09/30 Q330SR    5.87e6 -0.22
 TPNV   BH1     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6 -0.22
 TPNV   BH2     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6 -0.22
 VRUT   HHE     UU    01       0   2012/10/19  2099/01/01 SMART-24R 4.27e6  0.00
 VRUT   HHN     UU    01       0   2012/10/19  2099/01/01 SMART-24R 4.27e6  0.00
 VRUT   HHZ     UU    01   exclude 2012/10/19  2099/01/01 SMART-24R 4.27e6  0.00
 VRUT   ENE     UU    01       0   2012/10/19  2099/01/01 SMART-24R 6.04e6  0.00
 VRUT   ENN     UU    01       0   2012/10/19  2099/01/01 SMART-24R 6.04e6  0.00
 WPUT   HHE     UU    01       0   2014/09/17  2099/01/01 Taurus    5.60e6  0.00
 WPUT   HHN     UU    01       0   2014/09/17  2099/01/01 Taurus    5.60e6  0.00
 WPUT   HHZ     UU    01   exclude 2014/09/17  2099/01/01 Taurus    5.60e6  0.00
 WUAZ   BHE     US    01       0   1998/10/01  2016/09/30 Quanterra 5.87e6  0.00
 WUAZ   BHN     US    01       0   1998/10/01  2016/09/30 Quanterra 5.87e6  0.00
 WUAZ   BHZ     US    01   exclude 1998/10/01  2016/09/30 Quanterra 5.87e6  0.00
 WUAZ   BH1     US    00       0   2011/05/02  2099/01/01 Q330SR    5.87e6  0.00
 WUAZ   BH2     US    00       0   2011/05/02  2099/01/01 Q330SR    5.87e6  0.00
 WUAZ   BHZ     US    00   exclude 2011/05/02  2099/01/01 Q330SR    5.87e6  0.00
 YEE    HHE     WY    01       0   2016/09/07  2099/01/01 Taurus    5.60e6  0.00
 YEE    HHN     WY    01       0   2016/09/07  2099/01/01 Taurus    5.60e6  0.00
 YEE    HHZ     WY    01   exclude 2016/09/07  2099/01/01 Taurus    5.60e6  0.00
 YFT    HHE     WY    01       1   2001/11/07  2010/08/18 72A-07    3.67e6  0.20
 YFT    HHN     WY    01       1   2001/11/07  2010/08/18 72A-07    3.67e6  0.20
 YFT    HHZ     WY    01   exclude 2001/11/07  2010/08/18 72A-07    3.67e6  0.00
 YFT    HHE     WY    01       1   2010/08/19  2013/09/22 Q330S     5.87e6  0.20
 YFT    HHN     WY    01       1   2010/08/19  2013/09/22 Q330S     5.87e6  0.20
 YFT    HHZ     WY    01   exclude 2010/08/19  2013/09/22 Q330S     5.87e6  0.00
 YFT    HHE     WY    01       1   2013/09/23  2099/01/01 Taurus    5.60e6  0.20
 YFT    HHN     WY    01       1   2013/09/23  2099/01/01 Taurus    5.60e6  0.20
 YFT    HHZ     WY    01   exclude 2013/09/23  2099/01/01 Taurus    5.60e6  0.00
 YFT    ENE     WY    01       2   2010/08/19  2013/09/22 Q330S     8.30e6  0.20
 YFT    ENN     WY    01       2   2010/08/19  2013/09/22 Q330S     8.30e6  0.20
 YHB    HHE     WY    01       1   2007/10/14  2099/01/01 130-01    4.41e6  0.18
 YHB    HHN     WY    01       1   2007/10/14  2099/01/01 130-01    4.41e6  0.18
 YHB    HHZ     WY    01   exclude 2007/10/14  2099/01/01 130-01    4.41e6  0.00
 YHB    ENE     WY    01       2   2010/08/12  2099/01/01 130-01    6.23e6  0.18
 YHB    ENN     WY    01       2   2010/08/12  2099/01/01 130-01    6.23e6  0.18
 YHH    HHE     WY    01       0   2010/08/21  2099/01/01 Q330S     5.87e6  0.00
 YHH    HHN     WY    01       0   2010/08/21  2099/01/01 Q330S     5.87e6  0.00
 YHH    HHZ     WY    01   exclude 2010/08/21  2099/01/01 Q330S     5.87e6  0.00
 YHH    ENE     WY    01       0   2010/08/21  2099/01/01 Q330S     8.30e6  0.00
 YHH    ENN     WY    01       0   2010/08/21  2099/01/01 Q330S     8.30e6  0.00
 YHL    HHE     WY    01       0   2011/09/02  2099/01/01 Q330S     5.87e6  0.00
 YHL    HHN     WY    01       0   2011/09/02  2099/01/01 Q330S     5.87e6  0.00
 YHL    HHZ     WY    01   exclude 2011/09/02  2099/01/01 Q330S     5.87e6  0.00
 YHL    ENE     WY    01       0   2011/09/02  2099/01/01 Q330S     8.30e6  0.00
 YHL    ENN     WY    01       0   2011/09/02  2099/01/01 Q330S     8.30e6  0.00
 YHR    HHE     WY    01       0   2014/08/28  2099/01/01 Q330S     5.87e6  0.00
 YHR    HHN     WY    01       0   2014/08/28  2099/01/01 Q330S     5.87e6  0.00
 YHR    HHZ     WY    01   exclude 2014/08/28  2099/01/01 Q330S     5.87e6  0.00
 YMP    HHE     WY    01       0   2011/08/12  2099/01/01 Q330S     5.87e6  0.00
 YMP    HHN     WY    01       0   2011/08/12  2099/01/01 Q330S     5.87e6  0.00
 YMP    HHZ     WY    01   exclude 2011/08/12  2099/01/01 Q330S     5.87e6  0.00
 YMP    ENE     WY    01       0   2011/08/12  2099/01/01 Q330S     8.30e6  0.00
 YMP    ENN     WY    01       0   2011/08/12  2099/01/01 Q330S     8.30e6  0.00
 YMR    HHE     WY    01       1   1998/11/01  2010/08/17 72A-07    3.67e6 -0.38
 YMR    HHN     WY    01       1   1998/11/01  2010/08/17 72A-07    3.67e6 -0.38
 YMR    HHZ     WY    01   exclude 1998/11/01  2010/08/17 72A-07    3.67e6  0.00
 YMR    HHE     WY    01       1   2010/08/18  2099/01/01 Q330S     5.87e6 -0.38
 YMR    HHN     WY    01       1   2010/08/18  2099/01/01 Q330S     5.87e6 -0.38
 YMR    HHZ     WY    01   exclude 2010/08/18  2099/01/01 Q330S     5.87e6  0.00
 YMR    ENE     WY    01       2   2010/08/18  2099/01/01 Q330S     8.30e6 -0.38
 YMR    ENN     WY    01       2   2010/08/18  2099/01/01 Q330S     8.30e6 -0.38
 YNE    HHE     WY    01       0   2011/08/21  2012/08/26 Taurus    5.60e6  0.00
 YNE    HHN     WY    01       0   2011/08/21  2012/08/26 Taurus    5.60e6  0.00
 YNE    HHZ     WY    01   exclude 2011/08/21  2012/08/26 Taurus    5.60e6  0.00
 YNE    HHE     WY    01       0   2012/08/27  2099/01/01 130-01    4.41e6  0.00
 YNE    HHN     WY    01       0   2012/08/27  2099/01/01 130-01    4.41e6  0.00
 YNE    HHZ     WY    01   exclude 2012/08/27  2099/01/01 130-01    4.41e6  0.00
 YNR    HHE     WY    01       1   2003/09/09  2015/08/25 130-01    4.41e6  0.35
 YNR    HHN     WY    01       1   2003/09/09  2015/08/25 130-01    4.41e6  0.35
 YNR    HHZ     WY    01   exclude 2003/09/09  2015/08/25 130-01    4.41e6  0.00
 YNR    HHE     WY    01       1   2015/08/26  2099/01/01 Q330      5.87e6  0.35
 YNR    HHN     WY    01       1   2015/08/26  2099/01/01 Q330      5.87e6  0.35
 YNR    HHZ     WY    01   exclude 2015/08/26  2099/01/01 Q330      5.87e6  0.00
 YNR    ENE     WY    01       2   2003/09/09  2015/08/25 130-01    6.23e6  0.35
 YNR    ENN     WY    01       2   2003/09/09  2015/08/25 130-01    6.23e6  0.35
 YNR    ENE     WY    01       2   2015/08/26  2099/01/01 Q330      8.30e6  0.35
 YNR    ENN     WY    01       2   2015/08/26  2099/01/01 Q330      8.30e6  0.35
 YPP    HHE     WY    01       0   2010/08/27  2099/01/01 Q330S     5.87e6  0.00
 YPP    HHN     WY    01       0   2010/08/27  2099/01/01 Q330S     5.87e6  0.00
 YPP    HHZ     WY    01   exclude 2010/08/27  2099/01/01 Q330S     5.87e6  0.00
 YPP    ENE     WY    01       0   2010/08/27  2099/01/01 Q330S     8.30e6  0.00
 YPP    ENN     WY    01       0   2010/08/27  2099/01/01 Q330S     8.30e6  0.00
 YTP    HHE     WY    01       0   2011/08/30  2099/01/01 Q330S     5.87e6  0.00
 YTP    HHN     WY    01       0   2011/08/30  2099/01/01 Q330S     5.87e6  0.00
 YTP    HHZ     WY    01   exclude 2011/08/30  2099/01/01 Q330S     5.87e6  0.00
 YTP    ENE     WY    01       0   2011/08/30  2099/01/01 Q330S     8.30e6  0.00
 YTP    ENN     WY    01       0   2011/08/30  2099/01/01 Q330S     8.30e6  0.00
 YUF    HHE     WY    01       1   2005/09/02  2099/01/01 130-01    4.41e6  0.61
 YUF    HHN     WY    01       1   2005/09/02  2099/01/01 130-01    4.41e6  0.61
 YUF    HHZ     WY    01   exclude 2005/09/02  2099/01/01 130-01    4.41e6  0.00
 YUF    ENE     WY    01       2   2005/09/02  2099/01/01 130-01    6.23e6  0.61
 YUF    ENN     WY    01       2   2005/09/02  2099/01/01 130-01    6.23e6  0.61
 ZNPU   HHE     UU    01       1   2009/10/22  2099/01/01 Q330      5.87e6 -0.20
 ZNPU   HHN     UU    01       1   2009/10/22  2099/01/01 Q330      5.87e6 -0.20
 ZNPU   HHZ     UU    01   exclude 2009/10/22  2099/01/01 Q330      5.87e6  0.00
 ZNPU   ENE     UU    01       2   2009/10/22  2099/01/01 Q330      8.30e6 -0.20
 ZNPU   ENN     UU    01       2   2009/10/22  2099/01/01 Q330      8.30e6 -0.20
