  sta seedchan net location config   ondate     offdate   digitizer  clip   corr
 DUG    ELE     UU    02       2   1993/02/18  1994/04/08 None      0.00e0  0.20
 DUG    ELN     UU    02       2   1993/02/18  1994/04/08 None      0.00e0  0.20
 DUG    BHE     US    01       1   1993/02/18  2016/09/30 Quanterra 5.87e6  0.08
 DUG    BHN     US    01       1   1993/02/18  2016/09/30 Quanterra 5.87e6  0.08
 DUG    BH1     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6  0.08
 DUG    BH2     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6  0.08
 ELK    BHE     US    01       1   1994/01/06  2008/12/16 72A-08    3.67e6  0.02
 ELK    BHN     US    01       1   1994/01/06  2008/12/16 72A-08    3.67e6  0.02
 ELK    BHE     US    01       1   2008/12/17  2012/11/08 130-01    4.41e6  0.02
 ELK    BHN     US    01       1   2008/12/17  2012/11/08 130-01    4.41e6  0.02
 ELK    BHE     US    01       1   2012/11/09  2016/09/30 Q330HR    2.35e7  0.02
 ELK    BHN     US    01       1   2012/11/09  2016/09/30 Q330HR    2.35e7  0.02
 ELK    BH1     US    00       1   2014/11/13  2099/01/01 Q330HR    2.35e7  0.02
 ELK    BH2     US    00       1   2014/11/13  2099/01/01 Q330HR    2.35e7  0.02
 FORU   HHE     UU    01   exclude 2016/06/02  2099/01/01 130-01    4.41e6  0.00
 FORU   HHN     UU    01   exclude 2016/06/02  2099/01/01 130-01    4.41e6  0.00
 FORU   HHZ     UU    01   exclude 2016/06/02  2099/01/01 130-01    4.41e6  0.00
 GOL    BHE     US    01       1   1994/02/01  1994/08/31 Quanterra 5.87e6 -0.36
 GOL    BHN     US    01       1   1994/02/01  1994/08/31 Quanterra 5.87e6 -0.36
 HLID   BHE     US    01       1   1998/08/10  2016/09/30 Quanterra 5.87e6  0.05
 HLID   BHN     US    01       1   1998/08/10  2016/09/30 Quanterra 5.87e6  0.05
 HLID   BHZ     US    01   exclude 1998/08/10  2016/09/30 Quanterra 5.87e6  0.00
 HLID   BH1     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6  0.05
