Evid,EqLon,EqLat,EqDep,CatMag,Namps
50208720,-110.944,44.794,9.23,1.87,3
50208730,-110.944,44.794,9.3,1.83,3
50210475,-110.66,44.635,4.88,0.89,2
50210835,-111.121,44.764,12.14,1.95,4
50210880,-111.115,44.755,11.31,2.14,3
50211565,-110.537,44.795,6.92,1.33,2
50211585,-110.664,44.63,5.67,1.39,2
50211785,-110.6,44.44,4.05,1.91,2
50211790,-110.603,44.447,2.39,1.39,2
50211970,-110.68,44.746,4.88,1.6,2
50212050,-110.677,44.745,4.4,1.12,2
50212515,-109.947,44.701,16.78,2.17,2
50212900,-110.693,44.755,4.03,1.34,2
50212925,-110.696,44.755,4.38,1.32,2
50212935,-110.694,44.752,8.59,4.21,3
50213005,-110.687,44.752,4.22,1.4,2
50213105,-110.686,44.755,4.43,1.5,2
50213110,-110.687,44.758,3.99,1.22,2
50213160,-110.617,44.453,3.81,1.37,2
50213175,-110.693,44.749,7.87,3.5,3
50213225,-110.685,44.74,4.31,1.22,2
50213290,-110.699,44.751,5.71,2.75,3
50213315,-110.698,44.759,3.97,1.26,2
50213320,-110.7,44.756,3.86,1.38,2
50213340,-110.69,44.746,4.05,1.26,2
50213395,-110.702,44.752,4.5,1.75,2
50213400,-110.702,44.751,4.43,1.7,2
50213460,-110.674,44.623,4.77,1.13,2
50213475,-110.814,44.719,11.22,2.25,3
50213560,-110.653,44.684,7.42,1.39,2
50215080,-110.628,44.76,5.72,1.99,2
50217915,-110.74,44.575,6.18,1.57,2
50217930,-110.738,44.578,7.92,1.13,2
50217945,-110.736,44.579,7.41,1.16,2
50217990,-110.851,44.752,7.15,1.88,3
50218080,-110.847,44.753,7.8,2.08,3
50218095,-110.848,44.752,7.72,2.47,3
50218260,-110.849,44.754,7.84,2.11,3
50219290,-110.838,44.713,7.22,1.44,2
50222165,-110.665,44.658,7.05,0.93,2
50222180,-110.668,44.657,7.63,1.15,2
50222825,-110.496,44.314,5.85,2.3,3
50222975,-110.496,44.313,6.3,2.26,2
50224205,-111.06,44.637,8.38,2.05,2
50224255,-111.058,44.64,7.72,1.92,2
50224295,-111.058,44.64,7.91,1.87,2
50224460,-111.058,44.641,7.79,1.84,2
50224490,-111.057,44.639,7.98,1.84,2
50224505,-111.059,44.642,7.84,1.63,2
50224520,-111.062,44.635,9.63,2.11,2
50224620,-111.059,44.639,7.91,2.12,2
50224800,-111.058,44.64,8.08,1.92,2
50224850,-111.058,44.636,8.38,1.73,2
50225025,-111.057,44.639,7.75,2.14,3
50225070,-111.066,44.638,10.34,2.31,3
50225590,-111.062,44.644,8.26,2.06,3
50225855,-111.066,44.646,8.54,2.4,3
50226155,-110.748,44.63,7.51,1.23,2
50226175,-110.621,44.76,7.05,1.82,2
50227370,-110.527,44.474,4.87,1.57,2
50228465,-110.708,44.617,8.29,1.48,2
50228535,-110.708,44.616,7.43,1.38,2
50228575,-110.719,44.608,5.09,1.47,2
50228595,-110.71,44.614,8.55,1.39,2
50228630,-110.713,44.624,7.89,0.85,2
50228635,-110.716,44.624,5.46,0.94,2
50230105,-110.416,44.553,2.17,1.99,2
50230285,-110.792,44.623,7.74,1.14,2
50230330,-110.786,44.621,8.02,1.39,2
50233760,-110.739,44.604,8.17,1.11,2
50234895,-111.013,44.708,7.99,1.82,3
50235220,-111.011,44.712,9.25,1.85,2
50236265,-110.972,44.781,10.44,2.23,3
50236635,-111.473,44.82,11.23,1.87,2
50236930,-110.688,44.698,7.76,0.64,2
50236975,-111.468,44.821,11.49,1.89,2
50237025,-110.685,44.652,8.74,0.76,2
50237030,-110.718,44.587,9.52,1.1,2
50237035,-110.733,44.587,7.7,0.79,2
50237040,-110.72,44.608,7.47,0.83,2
50237100,-110.908,44.745,9.91,1.69,3
50237190,-111.132,44.733,9.54,1.94,3
50237245,-110.25,44.329,11.77,1.77,2
50237310,-110.692,44.69,7.69,1.02,2
50237400,-110.791,44.691,7.27,1.46,2
50237445,-110.558,44.417,3.32,1.58,2
50237535,-110.986,44.807,7.17,1.62,2
50237845,-111.353,44.815,10.57,2.35,3
50237885,-110.688,44.69,7.89,1.95,3
50237890,-110.689,44.705,7.72,1.11,2
50238970,-110.379,44.595,3.49,2.39,2
50239060,-110.793,44.263,3.74,1.44,2
50239910,-110.945,44.747,6.65,2.13,3
50239915,-110.945,44.749,6.96,1.9,3
50240455,-110.659,44.638,4.96,1.71,2
50240460,-110.664,44.634,5.31,0.98,2
50240820,-110.666,44.633,5.69,1.92,2
50240980,-110.526,44.831,9.64,1.94,3
50241085,-110.799,44.797,6.13,2.41,2
50241225,-110.757,44.8,7.73,1.86,2
50241495,-110.657,44.634,6.9,2.18,2
50241530,-110.962,44.748,10.42,2.07,2
50241550,-111.317,44.724,8.07,1.99,3
50242305,-110.527,44.236,9.76,2.05,4
50242465,-110.635,44.72,6.24,1.21,2
50242715,-110.89,44.767,6.89,1.52,3
50242785,-110.888,44.768,7.27,1.75,3
50242830,-110.891,44.773,8.16,2.46,3
50243015,-110.887,44.765,5.4,1.18,3
50243025,-111.434,44.795,12.8,1.76,2
50243095,-110.885,44.763,6.27,1.4,3
50243140,-110.888,44.771,8.54,2.12,3
50243160,-110.886,44.765,5.67,1.66,3
50243310,-111.015,44.502,13.1,2.02,3
50243335,-111.022,44.505,11.47,1.7,2
50243350,-111.019,44.505,11.49,1.7,3
50243655,-110.594,44.438,3.81,1.76,2
50243660,-110.591,44.436,4.01,1.42,2
50243815,-110.46,44.362,11.83,2.05,2
50244640,-110.535,44.482,6.18,2.02,2
50245730,-111.233,44.743,13.42,2.45,4
50245740,-110.662,44.633,6.69,1.68,2
50245785,-111.138,44.496,14.7,1.93,2
50245795,-111.159,44.491,15.38,1.9,2
50245805,-111.15,44.494,14.42,2.38,3
50245830,-111.143,44.498,15.87,1.83,2
50245835,-111.137,44.496,15.6,1.66,2
50245905,-111.142,44.499,13.56,2.28,2
50246165,-110.8,44.764,8.28,1.36,3
50246295,-110.802,44.767,6.8,1.9,3
50246430,-110.662,44.643,4.71,0.82,2
50246800,-110.725,44.761,4.33,1.75,2
50247095,-110.694,44.603,5.17,1.18,2
50247385,-111.433,44.911,10.1,2.89,3
50247405,-111.434,44.909,9.98,2.62,3
50247500,-111.457,44.904,9.09,1.84,2
50247755,-110.671,44.62,4.54,1.87,2
50248200,-110.718,44.696,7.53,0.81,2
50248205,-110.718,44.696,7.57,0.97,2
50248290,-111.052,44.815,8.53,2.14,4
50248470,-110.016,44.664,10.56,2.6,3
50248750,-111.055,44.816,8.92,1.87,3
50248775,-111.054,44.816,8.75,1.65,3
50248890,-111.052,44.814,8.53,1.96,4
50248920,-111.057,44.815,9.26,2.53,4
50248960,-111.049,44.811,7.73,1.71,3
50249345,-111.046,44.807,7.77,3.1,3
50249690,-111.239,44.637,12.05,1.8,3
50249700,-111.238,44.637,12.06,1.97,3
50249990,-111.061,44.812,9.08,2.01,4
50250000,-111.061,44.812,9.1,2.18,5
50250410,-111.063,44.813,9.28,2.73,5
50250515,-111.063,44.811,9.32,1.9,3
50250800,-111.242,44.638,11.83,2.51,3
50251585,-110.785,44.679,6.52,1.1,2
50252170,-110.711,44.607,5.41,1.57,2
50252185,-110.722,44.611,8.76,2.73,3
50252190,-110.724,44.599,7.52,2.1,2
50252200,-110.723,44.596,5.49,1.82,2
50252205,-110.727,44.597,7.05,1.68,2
50252210,-110.722,44.596,8.0,1.49,2
50252215,-110.712,44.605,8.08,1.62,2
50252220,-110.727,44.597,6.94,1.51,3
50252225,-110.725,44.594,7.31,1.99,3
50252250,-110.725,44.596,7.42,2.03,3
50252265,-110.721,44.6,7.63,1.56,3
50252290,-110.727,44.599,5.34,2.9,4
50252295,-110.72,44.593,7.83,2.28,2
50252350,-110.716,44.603,7.97,1.12,3
50252355,-110.721,44.596,7.64,1.48,2
50252360,-110.72,44.6,7.59,1.87,2
50252380,-110.719,44.595,7.61,1.75,2
50252445,-110.723,44.6,7.66,1.58,3
50252485,-110.718,44.602,8.29,1.39,3
50252530,-110.741,44.574,7.34,1.29,3
50253820,-110.717,44.612,9.3,0.97,2
50253865,-111.072,44.824,7.37,1.83,4
50253895,-110.367,44.106,6.06,1.73,2
50254075,-110.726,44.618,8.15,1.26,2
50254090,-111.024,44.801,7.38,1.83,2
50254330,-110.6,44.45,3.62,2.49,3
50254560,-110.721,44.689,7.84,1.0,2
50254565,-110.718,44.686,8.46,1.9,2
50254590,-110.973,44.662,4.36,2.01,2
50254700,-110.732,44.572,8.18,0.6,2
50254870,-110.744,44.639,7.48,1.12,2
50254925,-110.739,44.644,7.2,1.07,2
50254950,-111.011,44.807,8.52,1.71,3
50255100,-111.085,44.762,9.44,1.96,2
50255110,-111.083,44.764,9.57,1.64,2
50255120,-111.087,44.76,10.03,2.24,3
50255160,-111.259,44.729,13.91,1.51,3
50255315,-110.958,44.768,10.46,2.36,3
50255385,-110.755,44.8,7.53,1.76,3
50255445,-110.956,44.761,10.45,1.88,3
50255465,-111.016,44.806,6.04,1.63,2
50255485,-110.686,44.399,7.02,2.12,2
50255525,-110.954,44.764,9.97,1.53,3
50255770,-111.085,44.761,10.05,2.57,3
50255930,-111.036,44.828,7.95,1.87,4
50256055,-110.69,44.63,5.15,0.89,2
50256120,-110.665,44.773,6.21,1.99,3
50256380,-111.084,44.757,9.29,1.72,2
50256385,-111.092,44.759,10.33,2.49,3
50256530,-111.008,44.762,6.04,1.96,3
50256590,-110.45,44.603,5.49,1.66,2
50256715,-110.448,44.58,1.57,2.22,2
50256720,-110.448,44.609,4.65,2.89,3
50256730,-110.451,44.608,4.56,1.6,2
50256740,-110.452,44.608,4.36,1.66,2
50256755,-110.598,44.395,3.95,1.83,2
50256760,-110.596,44.394,3.5,1.67,2
50256785,-110.797,44.679,6.07,1.77,3
