Sta.,Sj
IW.LOHW,-0.0157778187
IW.REDW,-0.018654438500000002
MB.BUT,-0.23
US.AHID,-0.43
US.BOZ,0.17
US.BW06,-0.15
US.LKWY,-0.0189272431
WY.YEE,-0.0933150024
WY.YFT,0.18440198770000002
WY.YHB,0.0561738669
WY.YHH,0.1522565058
WY.YHL,0.20790292740000002
WY.YHR,-0.1855863966
WY.YMP,0.12347613290000001
WY.YMR,-0.1019134158
WY.YNE,-0.13859203180000002
WY.YNR,0.059840339400000005
WY.YPP,-0.0978324406
WY.YTP,0.5284567212
WY.YUF,-0.0019096938000000001
